sku_name,label,neg_label
耐火电缆\NH-YJV-0.6/1-4X10 NH-ⅡA,电工产品-电线电缆光缆-电线电缆光缆-电力电缆,
六角螺母\M22/不锈钢/,五金材料-紧固件-螺母-六角螺母,
蕉下 太阳伞防紫外线雨伞遮阳防晒伞折叠晴雨伞迷你便携伞乐玩系列47cm*6骨 棒糖星球,日常及办公用品-日常生活用品-日用杂品-伞,
得力(deli)8553-3#彩色金属长尾票夹32mm票据夹燕尾夹文件夹 混色装 24只/筒 1筒装,日常及办公用品-办公用品-办公文具-夹子,
特制双头螺柱M36*150\CHK05.016.2.010/25Cr2MoVA-II,五金材料-紧固件-螺栓-双头螺栓,
精臣P1S标牌机碳带 工业线缆通信光缆电缆挂牌不干胶打印机色带 黑色,日常及办公用品-办公用品-办公耗材-碳带,
螺栓\M12X50\外六角\全螺纹\端部有倒角\GB\T 5783-2000\镀锌\4.8级\A级,五金材料-紧固件-螺栓-六角头螺栓,
西玛（SIMAA）附件高清光敏印章 通用财务章 财务科目会计通用印章 19951,日常及办公用品-办公用品-办公文具-印章,
给水泵汽轮机本体备件螺栓\01701DM36×100,专用设备及配件-汽轮机系统设备-给水泵汽轮机-给水泵汽轮机配件,
针型阀\J23W 160P针型阀 （NFSS-UMB16X4.9-G飞托克型号） 两边带短管，M24X1.5直螺纹，平面密封， 短管外径16mm。工作环境：100bar 100℃，材质：不锈钢，工作介质：水、饱和蒸汽。,机械产品-工业阀门-工业阀门及配件-截止阀,
趣多多香脆巧克力味曲奇饼干浓香咖啡味休闲下午茶 340g（包装随机）,日常及办公用品-食材-五谷杂粮类、面类-方便食品,
电磁阀\SCG551-A001MS/ASCO,仪器仪表-自动化仪器仪表及配件-控制调节仪表-电磁阀,
缠绕垫\金属缠绕垫/165*200*3.2/不锈钢+石墨/普通,材料产品-复合材料及制品-密封件-金属缠绕垫,
有机玻璃棒\φ30,材料产品-塑料及制品-塑料棒材-有机玻璃棒,
得力（deli）珊瑚海 A4 80g 加厚双面打印纸 行业热销复印纸 500张1包 单包装,日常及办公用品-办公用品-办公用纸-复印纸,
轴承\6002-C-2Z\FAG,机械产品-轴承-轴承及附件-轴承,
滴露 Dettol 健康抑菌洗手液 500g/瓶\12瓶/箱 植物呵护,日常及办公用品-日常生活用品-日化用品-洗手液,
卡西欧 FX-82CN X-BK 函数计算器\(单位：台) 黑,日常及办公用品-办公用品-办公文具-计算器,
DONGXIAO/东消 手提式干粉灭火器 MFZ/ABC5 灭火剂容量5kg 1个\手提式干粉灭火器 MFZ/ABC5 灭火剂容量5kg\型号:提式干粉灭火器 MFZ/ABC5 灭火剂容量5kg,工器具-消防器具-消防器材-灭火器,
减速机齿轮\国茂 DCY250-40-I-S-RSP,机械产品-减速机设备-减速机及配件-减速机配件,
M10卡套转NPT3/8阳螺纹\M10-MC-NPT6-316,五金材料-工业管件-接头-快速接头,
SAFETY JOGGER/鞍琸宜 BESTRUN231安全鞋 200099 45码 黑色 防砸防刺穿防静电 防水防滑 1双,日常及办公用品-安全防护用品-劳动防护用品-工作鞋,
六角头螺栓/16/40/碳钢\六角头螺栓/16/40/碳钢,五金材料-紧固件-螺栓-六角头螺栓,
35KV绝缘手套\35KV绝缘手套,日常及办公用品-安全防护用品-劳动防护用品-手套,
脚踏冲水阀\φ32,日常及办公用品-洁具及附件-洁具附件-冲水阀,
空气预热器备件齿轮泵（小机滤油机）\CBT-E563Fl,专用设备及配件-锅炉系统设备-空气预热器-空气预热器配件,
球阀\球阀/Q641F-25P DN50 CF8/与现有气动头匹配（上电、哈电、中苏）,机械产品-工业阀门-工业阀门及配件-球阀,
六角头螺栓\30/130/3Cr13,五金材料-紧固件-螺栓-六角头螺栓,
垃圾吊起升钢丝绳/24 NAT  6*19W+FC  -1770gb/8919，要求裁成50米/根的规格,材料产品-黑色金属及制品-钢丝绳-钢丝绳,
低压缸备件内六角螺钉\M33X350/73B.069.031,专用设备及配件-汽轮机系统设备-发电汽轮机本体组件-汽轮机低压缸配件,
晨好（ch）2688特大号光敏印章收纳盒公章盒财务印鉴盒多功能收纳盒防伪印章箱,日常及办公用品-办公用品-办公文具-收纳盒,
截止阀/DN65/MSJ2-42V-65阀芯套装\DN65/MSJ2-42V-65阀芯套装,机械产品-工业阀门-工业阀门及配件-截止阀,
日本美克司(MAX)迷你小型订书机订书器可订20页 带起钉器便携订书机HD-10NX 蓝色,日常及办公用品-办公用品-办公器材-订书机,
等径三通\DN50 δ=4.0 PN1. 6碳钢 58\4\碳钢\个\50,五金材料-工业管件-三通-三通,
取样瓶/塑料全透明带盖广口瓶250ml,仪器仪表-分析、实验仪器仪表及配件-化学器皿-取样瓶,
输灰弯头\三通\内衬耐磨层\1省煤器脱硝联用\DN125\φ150\R=1200\需测绘,五金材料-工业管件-三通-内衬三通,
螺栓\M5X40\外六角\全螺纹\端部有倒角\GB\T 5783-2000\黑色\4.8级\A级,五金材料-紧固件-螺栓-六角头螺栓,
缠绕垫片-A\105X80X4.5\不锈钢+石墨\宁波友邦,材料产品-复合材料及制品-密封件-金属缠绕垫,
澳洲海肌兰Seaklam抑菌内衣洗衣液550ml加强版 原装进口去血渍去污去黄 内裤专用清洗液洗涤液,日常及办公用品-日常生活用品-日化用品-洗衣液,
六角头螺栓\24/180/8.8级/GB5782,五金材料-紧固件-螺栓-六角头螺栓,
不锈钢无缝钢管\DN50\304,材料产品-黑色金属及制品-钢管-无缝钢管（米）,
超霸（GP）7号碱性电池干电池20粒装 适用于照相机/鼠标/玩具/剃须刀/门铃/医疗仪器/电动工具等 AAALR03,电工产品-交直流电源-电池-普通电池,
电子秤\商用工业台秤计数称100kg,工器具-量具、衡器-衡器-电子台秤,
电动执行装置备件限位开关\L120-40/LMT,仪器仪表-自动化仪器仪表及配件-执行机构及配件-执行机构配件,
支吊架组件/冷段312#恒力弹簧支吊架\2*C58H-39B165(130S)/1070-M30/防腐型，工作荷载20.133kN(未考虑自重)，热位移130mm，除管夹外配齐,五金材料-支吊架及配件-管道支吊架-管道支吊架配件,
胜为（shengwei）VGA线 高清视频线 5米 电脑电视机投影仪显示屏连接线3+6芯数据信号线 VC-3050,电工产品-电线电缆光缆-电线电缆光缆-数据线,
气体检测仪/美国英思科M40 PRO四合一气体检测仪（甲烷、硫化氢、氯化氢、一氧化碳）,仪器仪表-分析、实验仪器仪表及配件-分析仪器仪表-气体检测仪,
排水PVC-U管件\UPVC外丝/DN65,五金材料-水暖五金-水暖接头-水暖直接头,
齿轮油\EP-90/844\Industrial Gear Oil\ 2L/桶,材料产品-工业用剂-润滑油脂-齿轮油,
金属垫片DN40/DN40,五金材料-紧固件-垫圈-平垫圈,
焊接式热电偶\安徽蓝德：装配热电偶 WRN2-13 K I=100 K分度，双支铠装型，带防水型接线盒,仪器仪表-自动化仪器仪表及配件-温湿度仪表-热电偶,
"电磁阀\VSVA-B-B52-ZD-A1-1T1L,539156/FESTO",仪器仪表-自动化仪器仪表及配件-控制调节仪表-电磁阀,
理光（Ricoh）MPC2503LC红色墨粉 适用MP C2003/C2503/C2011/C2004/C2504/IMC2000/IMC2500,日常及办公用品-办公用品-办公器材-办公器材配件,
公牛（BULL）过载保护插座/插线板/插排/排插/接线板/拖线板 6位总控全长5米 GN-216,电工产品-交直流电源-插头、插座-排插,
真地 Realand 门禁卡小区物业IC卡滴胶卡指纹锁迷你感应IC卡消费卡食堂卡公司考勤卡梅兰竹菊25个\ICJ25,日常及办公用品-办公用品-办公文具-磁卡,
电动机综合保护测控装置\LPC-3532-0311-41 AC220V 100A 配面板\金智科技,电工产品-电动机与发电机-电动机配件-电动机配件,
石墨盘根填料\43X33\石墨\慈溪高新,材料产品-复合材料及制品-复合材料及制品-盘根,
干灰设备备件阀芯上拐臂\4T13-9,专用设备及配件-除尘除灰系统设备-除灰设备-仓泵式输灰装置配件,
屏蔽控制电缆\ZC-KVVP2-4×1.0,电工产品-电线电缆光缆-电线电缆光缆-控制电缆,
轴承\23048EJW33 D1\TIMKEN,机械产品-轴承-轴承及附件-轴承,
晨光 M＆G 按动中性笔 GP-1008 0.5mm (蓝色) 12支/盒 (替芯 G-5),日常及办公用品-办公用品-办公文具-笔,
抗燃油装置备件/EH油泵出口滤芯\HC9601FDS8Z,机械产品-分离设备-过滤器及配件-过滤器配件,
绿联 Type-C转USB3.0转接头 OTG数据线USB-C转换器 通用华为小米手机 平板iPadPro苹果电脑Macbok接U盘,电子通信及自动化产品-电子计算机-计算机外部设备-接口转换器,
空气预热器备件/冷端径向密封片(外侧)\28.5VNT2000,专用设备及配件-锅炉系统设备-空气预热器-空气预热器配件,
齐心(Comix)剪刀/剪子 192mm大手柄 B2772,日常及办公用品-办公用品-办公文具-剪刀,
真空闸阀\DkZ61H-40 DN80,机械产品-工业阀门-工业阀门及配件-闸阀,
轴承\6212 Z17\TIMKEN,机械产品-轴承-轴承及附件-轴承,
M6尼龙螺栓\M6尼龙螺栓，六方，全螺纹，丝杆长度25mm，总长29mm，配套带2个尼龙螺母及2个尼龙防滑垫片,五金材料-紧固件-螺栓-双头螺栓,
公牛（BULL）GN-316 分控开关新国标孔5位 插座排插 1.8米电源线10A,电工产品-交直流电源-插头、插座-排插,
变频器/品牌：西门子；型号：SINAMICS V20（6SL3210-5BE17-5CV0）；INPUT：3φ AC380-480V -15%/+10%，2.6A，50/60HZ；OUTPUT:0-input V 2.2A，0-550HZ；MOTOR：0.75kW，IP：20，Un-Filtered；SCCR：40kA,电子通信及自动化产品-控制系统、集中监视系统及配件-变频系统-变频器,
秋叶原 高速USB打印机数据连接线 2.0打印机线 方口usb打印线 适用惠普HP佳能爱普生 10米 QS5003T10,电工产品-电线电缆光缆-电线电缆光缆-数据线,
正方鼎|钢木床 单人折叠床 多功能躺椅两折简易床 4轮升级款（硬板+3CM厚海绵）60CM,日常及办公用品-家具-床及附件-床,
机封\南方泵业，管道循环泵型号：TD200-24/4SWHCB配套机封/碳化硅材质,机械产品-工业泵-工业泵及配件-离心泵配件,
得力(deli)A4横式折页板夹会议夹 加厚硬文件夹 诗朗诵签约夹板 试卷资料收纳夹菜单夹 文件收纳用品5011蓝色,日常及办公用品-办公用品-办公文具-文件夹,
"闭式水泵轴承端盖(非驱动端)\长沙水泵型号：350S44A,流量：1070m3/h,扬程：42m，转速：1480r/min；轴功率：142KW",机械产品-工业泵-工业泵及配件-离心泵配件,
紫铜线鼻子\DT70,电工产品-电线电缆光缆-线缆附件-接线鼻子,
执行机构电路板/苏州博睿。 规格：BZ-K3-H2-Q1-3-T-SCH；角行程调节型 。,仪器仪表-自动化仪器仪表及配件-执行机构及配件-执行机构配件,
"卡套阳螺纹接头\材质：316材质；卡套阳螺纹接头；一端为3/4""卡套；一端为1/2""NPT阳螺纹。\天康",五金材料-工业管件-接头-快速接头,
联轴器/63.405Z/\63.405Z,机械产品-联轴器-联轴器及配件-联轴器,
碟形弹簧片\M12/25×12.2×0.9,五金材料-紧固件-垫圈-弹簧垫圈,
高压主汽门备件/球面垫圈/165.30.41.16\高压主汽门备件/球面垫圈/165.30.41.16,专用设备及配件-汽轮机系统设备-调速及保安系统设备-高压自动主汽门配件,
小机推力轴承测温热电阻\WZPM2Y-271MW-TW,仪器仪表-自动化仪器仪表及配件-温湿度仪表-热电阻,
轴承2\6307RZ,机械产品-轴承-轴承及附件-轴承,
电动执行装置备件电动头\ZB20-18/40,仪器仪表-自动化仪器仪表及配件-执行机构及配件-电动执行机构,
得力deli 7758 A4彩色复印纸 80g 25包/箱(深蓝色),日常及办公用品-办公用品-办公用纸-复印纸,
得力 deli 8561 长尾票夹 1#/12只 黑色 12只/筒 计价单位: 筒,日常及办公用品-办公用品-办公文具-夹子,
戴尔（DELL）DW316 USB超薄外置DVD/CD光驱笔记本台式机通用刻录外接移动光驱,日常及办公用品-办公用品-办公器材-刻录机,
O型圈\54x47x3.5/耐油氟橡胶/压力20Mpa,材料产品-复合材料及制品-密封件-O形圈,
9号燃机排气道压力开关高跳闸63ET-1/2\MODEL:675DE8004\ INCR ADJ:19.0-24.9inH2O\ DECR ADJ:16.5-22.4inH2O\ PROOF:15psi,仪器仪表-自动化仪器仪表及配件-压力仪表-压力开关,
筒体内衬修补圆弧板\MPS840.4AZ-1，NM450，300*300mm,专用设备及配件-锅炉辅助系统设备-制粉系统设备-制粉系统磨煤机配件,
吸收塔循环泵电机轴承（后）\NU230EM1/C3,机械产品-轴承-轴承及附件-轴承,
热电偶\WRNK2-291K/10000*1000/φ5,仪器仪表-自动化仪器仪表及配件-温湿度仪表-热电偶,
金霸王(Duracell)CR2016纽扣电池5粒装 3V锂电池 适用丰田比亚迪奔驰景逸等汽车钥匙 手表电池等,电工产品-交直流电源-电池-纽扣电池,
迈思通/Mszmsn 独立式燃气报警器，FS0801EV,仪器仪表-分析、实验仪器仪表及配件-分析仪器仪表-气体检测仪,
得普声 D28 一拖八无线领夹麦克风 专业舞台演出主持语音收音电脑视频会议调频无线头戴话筒小蜜蜂耳麦胸麦,电子通信及自动化产品-通讯设备及配件-通讯器材-麦克风,
九阳（Joyoung）养生壶玻璃花茶壶可拆卸茶篮 定制12大功能 煮茶器电水壶热水壶烧水壶1.5L K15F-WY155,日常及办公用品-家用电器-生活电器-电热壶,
小型断路器/NXB-63 2P C2,电工产品-高、低压开关电器-断路器及配件-低压断路器,
BASEWING/倍适威 医用一次性防护服 连体式 180码 白色 灭菌 1件,日常及办公用品-安全防护用品-劳动防护用品-工作服,
机械密封/南方 ZS50-32-200/3.0SLC 机封,机械产品-工业泵-工业泵及配件-离心泵配件,
分析仪器备件试剂管\44957-00/HACH硅表5000,仪器仪表-分析、实验仪器仪表及配件-分析仪器仪表-分析仪器配件,
日本三菱（Uni）UM-151财务用笔0.38mm学生用中性笔(替芯UMR-1)蓝色 10支装,日常及办公用品-办公用品-办公文具-笔,
消泡剂/JHW-806 25Kg/桶,材料产品-工业用剂-工业用剂-消泡剂,
安兴 传美 A4 210g 皮纹纸 封面纸 云彩纸 封皮纸 彩色卡纸 标书装订封面纸 深蓝色 100张/包,日常及办公用品-办公用品-办公用纸-封面纸,
继电器底座/CSM继电器底座\继电器底座/CSM继电器底座,电工产品-继电器-继电器及配件-继电器配件,
静音式止回阀/DRVZ-10Q(Z) DN250  PN1.0MPa,机械产品-工业阀门-工业阀门及配件-止回阀,
压力变送器\EJA110E-JMS4J-714ED 0~4kPa,仪器仪表-自动化仪器仪表及配件-压力仪表-压力变送器,
截止阀\J61Y-P57210VDN10,机械产品-工业阀门-工业阀门及配件-截止阀,
延伸电缆\330130-040-00-00,电子通信及自动化产品-控制系统、集中监视系统及配件-测量和控制系统设备-汽轮机监视系统配件,
硒鼓\C9732AYellowHP5500.5550/HP,日常及办公用品-办公用品-办公耗材-硒鼓,
电泵再循环气动调节阀阀盖垫片\Body/Bonnet Gasket\V286651\SN1000003098258,机械产品-工业阀门-工业阀门及配件-调节阀配件,
"钳子/尖嘴钳/5"" 70612\钳子/尖嘴钳/5"" 70612",工器具-手动工具-钳子类工具-尖嘴钳,
得力(deli)0.7mm办公中性笔水笔签字笔 12支/盒DL-S822黑,日常及办公用品-办公用品-办公文具-笔,
缠绕垫\630*650*694*720*4.5/不锈钢+石墨/带内外环,材料产品-复合材料及制品-密封件-金属缠绕垫,
给水泵备件给水泵O型圈\DG600-240(SL)-001/2,专用设备及配件-汽轮机辅助系统设备-给水系统设备-给水泵配件,
骨架油封/16*26*7,材料产品-复合材料及制品-密封件-骨架油封,
智能压力变送器/安徽四通。规格：ST3151LT4S25M3S1；0-20KPa；精度0.2%；法兰尺寸DN50，法兰材质316L，隔离膜片材质钽 ，24V DC供电，4~20mA输出，HART协议，含液晶显示；测量除渣机水位专用。,仪器仪表-自动化仪器仪表及配件-压力仪表-压力变送器,
"史丹利 （Stanley）起钉器36""(90°角) 95-260-23 有货期",日常及办公用品-办公用品-办公文具-起钉器,
油封\47×90-10\47mm\90mm\10mm\氟橡胶\个,材料产品-复合材料及制品-密封件-骨架油封,
O型密封圈\ø28*3.55 聚氨酯橡胶 ,材料产品-复合材料及制品-密封件-O形圈,
3M口罩9501V+升级款防尘口罩kn95口罩防雾霾防工业粉尘带呼吸阀独立装 9501V+耳带式10只装【带阀】,日常及办公用品-安全防护用品-劳动防护用品-口罩,
中压缸备件内六角螺母\M33×99/73.073.034,专用设备及配件-汽轮机系统设备-发电汽轮机本体组件-汽轮机中压缸配件,
轴套\C590-0114/20Cr13\长沙水泵厂\件,专用设备及配件-汽轮机辅助系统设备-凝结水系统设备-凝结水泵配件,
氟橡胶O形圈（内径×圈直径）\Φ63.8×3.1,材料产品-复合材料及制品-密封件-O形圈,
抓斗式卸船机备件电动机起动器\82300908/MS325-9/ABB,机械产品-起重机械-起重机械及配件-抓斗式卸船机起重机配件,
晨光 M＆G 拔帽中性笔 K-37 0.38mm (蓝色) 12支/盒 (替芯：MG6100),日常及办公用品-办公用品-办公文具-笔,
毕亚兹 HDMI转DP转换器 4K/60hz Displayport母4K高清视频线支持笔记本电脑PS4接显示器转接头 zh110,电子通信及自动化产品-电子计算机-计算机外部设备-接口转换器,
龙伟联合 防酸碱工作服大褂男女耐磨耐脏搬运服汽修蓝大褂防尘劳保服长袖罩衣定制LOGO 蓝色（防静电）185,日常及办公用品-安全防护用品-劳动防护用品-工作服,
"EVERPOWER/艾威博尔 镀铬活动扳手 350115 15"" 1把",工器具-手动工具-扳手类工具-活扳手,
长款双层连体反光雨衣/品牌：谋福  8019系列 尺码：3XL180  颜色：荧光黄 样式：带袖一体式 涂层：PVC防水涂层 面料：牛津布层布 工艺：热封熔 技术：防风/透气/防水,日常及办公用品-安全防护用品-劳动防护用品-工作服,
螺杆式空气压缩机备件压紧环\可调直角接头/39478748,机械产品-压缩机设备-压缩机及配件-螺杆式压缩机配件,
便携四合一气体检测仪表\XP-302M/COSMOS,仪器仪表-分析、实验仪器仪表及配件-分析仪器仪表-气体检测仪,
NPT1/4阳螺纹-φ12快插接头\KC12-MC-NPT4,五金材料-工业管件-接头-快速接头,
止回阀/型号：H44H-40C  DN40 PN40 配反法兰、螺栓及金属缠绕垫片,机械产品-工业阀门-工业阀门及配件-止回阀,
电缆保护管\双层开口波纹管/PA阻燃 AD25(25*20mm),电工产品-电线电缆光缆-线缆附件-电缆保护管,
内骨架油封\45MM/75MM/12MM,材料产品-复合材料及制品-密封件-骨架油封,
安美尚 ams 一次性手套 加厚丁腈 100只/盒 L码 蓝色 检查实验室工作防护防化耐油丁晴 A5201,日常及办公用品-医疗用品-医疗耗材-医用橡胶手套,
中压缸备件不锈钢沉头螺钉\GB68-76M6×12,五金材料-紧固件-螺钉-沉头螺钉,
润滑油\真空泵油/里其乐#46,材料产品-工业用剂-润滑油脂-真空泵油,
滑动轴承\8220,机械产品-轴承-轴承及附件-轴承,
花纹钢板\Δ=5MM,材料产品-黑色金属及制品-钢板材-花纹钢板,
EXSAF/特安 温度变送器 W4052 WSSF-481 ，-40~80C，1.5级 探杆6.35mm，150mm，螺纹M20，万向 1台,仪器仪表-自动化仪器仪表及配件-温湿度仪表-温度变送器,
得力8486 微笑长尾票夹 【8486长尾票夹筒装(混)(48只/筒)】6筒装,日常及办公用品-办公用品-办公文具-夹子,
缠绕垫\金属缠绕垫/297*334*3.2/不锈钢+石墨/普通,材料产品-复合材料及制品-密封件-金属缠绕垫,
管子\Φ57×6，SA-213TP310HCbN,材料产品-黑色金属及制品-钢管-无缝钢管（米）,
新同力N&amp;P PU气管，Φ12×Φ8，20M/卷，透明,材料产品-塑料及制品-塑料管材-PU管,
气动执行器手动机构\DN125DN150 UMOB-3B014,仪器仪表-自动化仪器仪表及配件-执行机构及配件-气动执行机构,
轴承\6020 2RS Z17\TIMKEN,机械产品-轴承-轴承及附件-轴承,
气动截止阀 DN40\J661H-40 DN40,机械产品-工业阀门-工业阀门及配件-截止阀,
膨胀性防火密封胶\FS-I,材料产品-胶粘剂-胶粘剂-密封胶,
滑动炉排片密封条/图号：ST017_237_01_1019_2-1，材质：304不锈钢,专用设备及配件-锅炉辅助系统设备-炉排设备-炉排片配件,
盐酸羟胺\100克/瓶 分析纯 国药集团化学试剂有限公司\盐酸羟胺\分析纯\100克/瓶\瓶,材料产品-化学试剂-化学试剂-盐酸羟胺试剂,
垫圈\SGCB000005890_EN1514-2_DN150/PN40_316L+石墨,专用设备及配件-燃气轮机系统设备-燃气轮机本体-燃气轮机辅助设备配件,
"螺丝刀/一字/3"" 62202\螺丝刀/一字/3"" 62202",工器具-手动工具-螺丝刀类工具-一字螺丝刀,
白底车贴/45*11cm,日常及办公用品-安全防护用品-安全保护及警示用品-标示牌,
空气预热器备件推力轴承环板\7322.154,专用设备及配件-锅炉系统设备-空气预热器-空气预热器配件,
O型圈\Φ176*5.7 氟橡胶,材料产品-复合材料及制品-密封件-O形圈,
晨光(M&G)文具24色无木环保彩色铅笔 可擦彩铅 学生美术绘画填色 六角杆黄筒装AWPQ0508生日礼物,日常及办公用品-办公用品-办公文具-笔,
TONSAN/天山可赛新 铸铁修补剂 TS111 铸铁色 500g 1套,材料产品-胶粘剂-胶粘剂-修补剂,
联想电脑 启天M437 商用办公 台式机电脑I5-10500/8G/1TB+256G/1050TI 4G/WIN11H/来酷23.8英寸 定制款,电子通信及自动化产品-电子计算机-计算机-台式计算机,
耐振式压力表\213.53.63/10~300Bar/M14X1.5,仪器仪表-自动化仪器仪表及配件-压力仪表-弹簧管压力表,
Homeglen白色透明塑料袋一次性手提背心包装袋马甲袋子外卖打包方便袋 白宽31*高51 1000个,日常及办公用品-日常生活用品-日用杂品-塑料袋,
佰洁邦 乳胶防化手套，纯天然家用乳胶手套 40cm L,日常及办公用品-安全防护用品-劳动防护用品-手套,
变频器附件/液晶面板电源/ZINVERT-A5H1600-06B/广州智光\ZINVERT-A5H1600-06B,电子通信及自动化产品-控制系统、集中监视系统及配件-变频系统-变频器配件,
晨好10个装白板磁扣黑板强磁磁钉彩色圆形吸铁石办公钕磁铁强力磁图钉磁粒吸铁石 小号,日常及办公用品-办公用品-办公文具-磁性贴,
小钢炮 TOPGUN A4复印纸70g 2500张/5包/箱 特级小钢炮打印纸,日常及办公用品-办公用品-办公用纸-复印纸,
自密封圈\自密封圈/145*170*22*30°/石墨,材料产品-复合材料及制品-密封件-自密封,
螺栓\M12×45\M12×45\螺栓\45\12\8.8,五金材料-紧固件-螺栓-六角头螺栓,
"氨用压力表\0-4.0MPa,YTHN-063.ZO.513 M180.Z14  表盘￠60mm，安装螺纹为 外螺纹1/4NPTM表头冲油，带有氨用压力表字样，带有黄绿红标识；耐氨水腐蚀。准确度等级1.5级 布莱迪\YTHN-063.ZO.513 M180.Z14\布莱迪",仪器仪表-自动化仪器仪表及配件-压力仪表-弹簧管压力表,
电动执行机构\QX-3/542Nm/limitorque,仪器仪表-自动化仪器仪表及配件-执行机构及配件-电动执行机构,
润滑油及密封油装置备件瓦块装配\73.052.4Z,专用设备及配件-油系统设备-专用油站系统设备-润滑油站配件,
广博(GuangBo)5入L型资料册A4文件套学生试卷收纳夹 清新蓝色H98006-B,日常及办公用品-办公用品-办公文具-档案册,
手动球阀\Q61R-25RL\DN80\阀体SS316L阀芯SS316L密封面PEEK,机械产品-工业阀门-工业阀门及配件-球阀,
苏泊尔（SUPOR）电水壶热水壶 全钢无缝双层防烫电热水壶 304不锈钢烧水壶开水壶 SW-15J30C,日常及办公用品-家用电器-生活电器-电热壶,
晨光（M&G）AOMY8501C油漆笔记号笔 2.0mm 不易掉色防水 红色 12支装,日常及办公用品-办公用品-办公文具-笔,
深沟球轴承\6204DDUC3**\NSK,机械产品-轴承-轴承及附件-轴承,
电磁阀\2W-200-20 DV24V,仪器仪表-自动化仪器仪表及配件-控制调节仪表-电磁阀,
缠绕垫片\60X20X3.2\不锈钢+石墨\宁波友邦,材料产品-复合材料及制品-密封件-金属缠绕垫,
高压缸备件中压持环\AXIALSCREWM12轴向螺栓/阿尔斯通,专用设备及配件-汽轮机系统设备-发电汽轮机本体组件-汽轮机高压缸配件,
塑料桶\25L 白色,日常及办公用品-日常生活用品-日用杂品-桶,
缠绕垫片\c12-200-40\不锈钢+石墨\宁波友邦,材料产品-复合材料及制品-密封件-金属缠绕垫,
抓斗式卸船机备件弹性体\42/55-98SH/KONE,机械产品-起重机械-起重机械及配件-抓斗式卸船机起重机配件,
O型圈\9*3.55,材料产品-复合材料及制品-密封件-O形圈,
O型圈\45*3.55,材料产品-复合材料及制品-密封件-O形圈,
富士施乐C2263/2265/2060/2560原装硒鼓施乐3060墨粉碳粉盒废粉盒感光鼓F 五代六代通用黄色墨粉CT202499,日常及办公用品-办公用品-办公器材-办公器材配件,
低压接触器附件\辅助触点/S270-H11/,电工产品-接触器-接触器及配件-接触器配件,
CO标气/180mg/m3 ；体积8L；充满压力10MPa； 精度1%；不含瓶。,材料产品-气体-气体-标准气体,
油浸石棉盘根\12mm*12mm,材料产品-复合材料及制品-复合材料及制品-盘根,
高强度内六角螺栓/M30*140，高强度12.9级，带1个平行垫圈1个弹性垫圈，1螺母,五金材料-紧固件-螺栓-内六角螺栓,
